Player,Total score (points),Category,Tag,variable,category,Type
rish,7267,movies_tv,rish,Weakness.4,movies_tv,Weakness
vishal,6616,movies_tv,vishal,Weakness.2,movies_tv,Weakness
sahib,6602,movies_tv,sahib,,,
sakura,6519,movies_tv,sakura,,,
mano,6404,movies_tv,mano,,,
pre-eat,5734,movies_tv,pre-eat,Strength.1,movies_tv,Strength
badhirpanda,5168,movies_tv,badhirpanda,,,
rishabh,1885,movies_tv,rishabh,Weakness.1,movies_tv,Weakness
kale,9474,music,kale,Strength.3,music,Strength
vishal,9298,music,vishal,Weakness.3,music,Weakness
rish,8846,music,rish,,,
sakura,7533,music,sakura,Weakness.2,music,Weakness
pre-eat,8123,music,pre-eat,,,
muz,6824,music,muz,Weakness.3,music,Weakness
sommz,6308,music,sommz,Weakness.2,music,Weakness
sahib,4746,music,sahib,Weakness.1,music,Weakness
adwait,4717,music,adwait,,,
rishabh,3787,music,rishabh,Weakness.2,music,Weakness
mano,7233,music,mano,Weakness.3,music,Weakness
rishabh,7570,physics_space,rishabh,Strength.2,physics_space,Strength
sakura,7236,physics_space,sakura,,,
rish,5623,physics_space,rish,,,
sommz,4672,physics_space,sommz,,,
mano,4454,physics_space,mano,Weakness,physics_space,Weakness
pre-eat,2849,physics_space,pre-eat,,,
adwait,2756,physics_space,adwait,,,
kale,2694,physics_space,kale,Weakness.1,physics_space,Weakness
vishal,2503,physics_space,vishal,Strength.1,physics_space,Strength
muz,1850,physics_space,muz,,,
sommz,7762,politics,sommz,,,
muz,7514,politics,muz,,,
mano,7013,politics,mano,,,
adwait,6734,politics,adwait,,,
rishabh,6589,politics,rishabh,,,
sakura,6534,politics,sakura,Weakness.1,politics,Weakness
rish,5623,politics,rish,Strength.3,politics,Strength
pre-eat,3457,politics,pre-eat,,,
kale,2869,politics,kale,,,
vishal,1851,politics,vishal,Weakness.1,politics,Weakness
muz,9414,social media,muz,Weakness.4,social media,Weakness
sakura,9330,social media,sakura,Strength.2,social media,Strength
kale,9285,social media,kale,,,
rishabh,7640,social media,rishabh,Weakness.4,social media,Weakness
sommz,7608,social media,sommz,Weakness.3,social media,Weakness
mano,7407,social media,mano,Strength.4,social media,Strength
pre-eat,7402,social media,pre-eat,Strength.3,social media,Strength
adwait,6684,social media,adwait,,,
rish,5643,social media,rish,,,
vishal,5626,social media,vishal,,,
adwait,9459,sports,adwait,Strength.1,sports,Strength
sakura,9260,sports,sakura,,,
mano,8486,sports,mano,Weakness.1,sports,Weakness
muz,7616,sports,muz,Strength.3,sports,Strength
sommz,6754,sports,sommz,Weakness.1,sports,Weakness
rishabh,6671,sports,rishabh,,,
vishal,6391,sports,vishal,Strength.3,sports,Strength
kale,4609,sports,kale,Weakness.2,sports,Weakness
pre-eat,3635,sports,pre-eat,,,
rish,1786,sports,rish,Weakness.1,sports,Weakness
rishabh,8324,technology,rishabh,Strength.3,technology,Strength
vishal,7583,technology,vishal,Strength.2,technology,Strength
sakura,6576,technology,sakura,Strength,technology,Strength
adwait,5653,technology,adwait,Strength,technology,Strength
rish,5376,technology,rish,Weakness,technology,Weakness
muz,4691,technology,muz,Strength.2,technology,Strength
sahib,5649,technology,sahib,Strength.3,technology,Strength
kale,4579,technology,kale,,,
sommz,4398,technology,sommz,Weakness,technology,Weakness
pre-eat,2828,technology,pre-eat,,,
mano,6492,technology,mano,Strength.2,technology,Strength
rish,8276,travel_lifestyle,rish,,,
kale,7951,travel_lifestyle,kale,,,
muz,7494,travel_lifestyle,muz,,,
pre-eat,7358,travel_lifestyle,pre-eat,Strength.2,travel_lifestyle,Strength
mano,7314,travel_lifestyle,mano,Strength.3,travel_lifestyle,Strength
adwait,6589,travel_lifestyle,adwait,,,
sommz,6231,travel_lifestyle,sommz,,,
vishal,6063,travel_lifestyle,vishal,,,
rishabh,5688,travel_lifestyle,rishabh,Weakness.3,travel_lifestyle,Weakness
sakura,4636,travel_lifestyle,sakura,Strength.1,travel_lifestyle,Strength
